DriverNumber,DriverNumber.1,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q3,Time,Status,Points,PositionChange,Year,Event,TrackLocation
44,44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,,0 days 01:33:28.338000,Finished,25.0,0.0,2014,Chinese Grand Prix,Shanghai
6,6,ROS,rosberg,Mercedes,mercedes,Nico,Rosberg,Nico Rosberg,2.0,2,4.0,,0 days 00:00:18.062000,Finished,18.0,2.0,2014,Chinese Grand Prix,Shanghai
14,14,ALO,alonso,Ferrari,ferrari,Fernando,Alonso,Fernando Alonso,3.0,3,5.0,,0 days 00:00:23.604000,Finished,15.0,2.0,2014,Chinese Grand Prix,Shanghai
3,3,RIC,ricciardo,Red Bull,red_bull,Daniel,Ricciardo,Daniel Ricciardo,4.0,4,2.0,,0 days 00:00:27.136000,Finished,12.0,-2.0,2014,Chinese Grand Prix,Shanghai
1,1,VET,vettel,Red Bull,red_bull,Sebastian,Vettel,Sebastian Vettel,5.0,5,3.0,,0 days 00:00:47.778000,Finished,10.0,-2.0,2014,Chinese Grand Prix,Shanghai
27,27,HUL,hulkenberg,Force India,force_india,Nico,Hülkenberg,Nico Hülkenberg,6.0,6,8.0,,0 days 00:00:54.295000,Finished,8.0,2.0,2014,Chinese Grand Prix,Shanghai
77,77,BOT,bottas,Williams,williams,Valtteri,Bottas,Valtteri Bottas,7.0,7,7.0,,0 days 00:00:55.697000,Finished,6.0,0.0,2014,Chinese Grand Prix,Shanghai
7,7,RAI,raikkonen,Ferrari,ferrari,Kimi,Räikkönen,Kimi Räikkönen,8.0,8,11.0,,0 days 00:01:16.335000,Finished,4.0,3.0,2014,Chinese Grand Prix,Shanghai
11,11,PER,perez,Force India,force_india,Sergio,Pérez,Sergio Pérez,9.0,9,16.0,,0 days 00:01:22.647000,Finished,2.0,7.0,2014,Chinese Grand Prix,Shanghai
26,26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,10.0,10,13.0,,,+1 Lap,1.0,3.0,2014,Chinese Grand Prix,Shanghai
22,22,BUT,button,McLaren,mclaren,Jenson,Button,Jenson Button,11.0,11,12.0,,,+1 Lap,0.0,1.0,2014,Chinese Grand Prix,Shanghai
25,25,VER,vergne,Toro Rosso,toro_rosso,Jean-Éric,Vergne,Jean-Éric Vergne,12.0,12,9.0,,,+1 Lap,0.0,-3.0,2014,Chinese Grand Prix,Shanghai
20,20,MAG,kevin_magnussen,McLaren,mclaren,Kevin,Magnussen,Kevin Magnussen,13.0,13,15.0,,,+1 Lap,0.0,2.0,2014,Chinese Grand Prix,Shanghai
13,13,MAL,maldonado,Lotus F1,lotus_f1,Pastor,Maldonado,Pastor Maldonado,14.0,14,22.0,,,+1 Lap,0.0,8.0,2014,Chinese Grand Prix,Shanghai
19,19,MAS,massa,Williams,williams,Felipe,Massa,Felipe Massa,15.0,15,6.0,,,+1 Lap,0.0,-9.0,2014,Chinese Grand Prix,Shanghai
21,21,GUT,gutierrez,Sauber,sauber,Esteban,Gutiérrez,Esteban Gutiérrez,16.0,16,17.0,,,+1 Lap,0.0,1.0,2014,Chinese Grand Prix,Shanghai
17,17,BIA,jules_bianchi,Marussia,marussia,Jules,Bianchi,Jules Bianchi,17.0,17,19.0,,,+1 Lap,0.0,2.0,2014,Chinese Grand Prix,Shanghai
10,10,KOB,kobayashi,Caterham,caterham,Kamui,Kobayashi,Kamui Kobayashi,18.0,18,18.0,,,+1 Lap,0.0,0.0,2014,Chinese Grand Prix,Shanghai
4,4,CHI,chilton,Marussia,marussia,Max,Chilton,Max Chilton,19.0,19,21.0,,,+2 Laps,0.0,2.0,2014,Chinese Grand Prix,Shanghai
9,9,ERI,ericsson,Caterham,caterham,Marcus,Ericsson,Marcus Ericsson,20.0,20,20.0,,,+2 Laps,0.0,0.0,2014,Chinese Grand Prix,Shanghai
8,8,GRO,grosjean,Lotus F1,lotus_f1,Romain,Grosjean,Romain Grosjean,21.0,R,10.0,,,Gearbox,0.0,-11.0,2014,Chinese Grand Prix,Shanghai
99,99,SUT,sutil,Sauber,sauber,Adrian,Sutil,Adrian Sutil,22.0,R,14.0,,,Engine,0.0,-8.0,2014,Chinese Grand Prix,Shanghai
